ArtistName,SongName,SongExplicit
Cardi B,Get Up 10,True
Cardi B,Drip (feat. Migos),True
Cardi B,Bickenhead,True
Cardi B,Bodak Yellow,True
Cardi B,Be Careful,True
Cardi B,Best Life (feat. Chance The Rapper),True
Cardi B,I Like It,True
Cardi B,Ring (feat. Kehlani),True
Cardi B,Money Bag,True
Cardi B,Bartier Cardi (feat. 21 Savage),True
Cardi B,She Bad,True
Cardi B,Thru Your Phone,True
Cardi B,I Do (feat. SZA),True
Cardi B,Get Up 10,False
Cardi B,Drip (feat. Migos),False
Cardi B,Bickenhead,False
Cardi B,Bodak Yellow,False
Cardi B,Be Careful,False
Cardi B,Best Life (feat. Chance The Rapper),False
Cardi B,I Like It,False
Cardi B,Ring (feat. Kehlani),False
Cardi B,Money Bag,False
Cardi B,Bartier Cardi (feat. 21 Savage),False
Cardi B,She Bad,False
Cardi B,Thru Your Phone,False
Cardi B,I Do (feat. SZA),False
Cardi B,Bronx Season,True
Cardi B,Lick (feat. Offset),True
Cardi B,Hectic (feat. DJ Hardwerk),True
Cardi B,Leave That Bitch Alone (Skit) (feat. Justvlad),True
Cardi B,Leave That Bitch Alone,True
Cardi B,Rollin,True
Cardi B,Back It Up (feat. Konshens & Hoodcelebrityy),True
Cardi B,Never Give Up (feat. Josh X),True
Cardi B,Pull Up,True
Cardi B,Pop Off (feat. Casanova),True
Cardi B,Intro (Skit) (feat. The Breakfast Club),True
Cardi B,Trust Issues,True
Cardi B,On Fleek,True
Cardi B,Washpoppin,True
Cardi B,Her Perspective (Skit),True
Cardi B,Selfish (feat. Josh X),True
Cardi B,I Gotta Hurt You,True
Cardi B,Foreva,True
Cardi B,Trick (Skit) (feat. Haitian V),True
Cardi B,Trick,True
Cardi B,Lit Thot,True
Cardi B,Sauce Boyz,True
Cardi B,Outro (Skit) (feat. Lisa Evers),True
Cardi B,Money,True
Cardi B,Money,False
Cardi B,Backin' It Up (feat. Cardi B),True
Cardi B,Backin' It Up (feat. Cardi B),False
Cardi B,I Like It - Dillon Francis Remix,True
Cardi B,I Like It,True
Cardi B,I Like It (feat. Kontra K and AK Ausserkontrolle),True
Cardi B,Finesse (James Hype Remix) [feat. Cardi B],False
Cardi B,Finesse (Pink Panda Remix) [feat. Cardi B],False
Cardi B,Finesse (Remix) [feat. Cardi B],False
Cardi B,Finesse (Remix) [feat. Cardi B],False
Cardi B,Um Yea,True
Cardi B,Bodak Yellow (feat. Kodak Black),True
Cardi B,Bodak Yellow (feat. Messiah) - Latin Trap Remix,True
Cardi B,Bodak Yellow (feat. Messiah) - Latin Trap Remix,False
Cardi B,Bronx Season,False
Cardi B,What a Girl Likes,True
Cardi B,What a Girl Likes,False
Cardi B,Stripper Hoe,True
