ArtistName,SongName,SongExplicit
Snoop Dogg,Thank You Lord (Intro) [feat. Chris Bolton],False
Snoop Dogg,"Love for God (feat. Uncle Chucc, The Zion Messengers & K-Ci)",False
Snoop Dogg,Always Got Something to Say,False
Snoop Dogg,Defeated (feat. John P. Kee),False
Snoop Dogg,In the Name of Jesus (feat. October London),False
Snoop Dogg,Going Home (feat. Uncle Chucc & The Zion Messengers),False
Snoop Dogg,Saved (feat. Faith Evans & 3rd Generation (Bereal Family)),False
Snoop Dogg,Sunshine Feel Good (feat. Kim Burrell),False
Snoop Dogg,Sunrise (feat. Sly Pyper),False
Snoop Dogg,Pure Gold (feat. The Clark Sisters),False
Snoop Dogg,Pain (feat. B Slade),False
Snoop Dogg,New Wave (feat. Mali Music),False
Snoop Dogg,On Time (feat. B Slade),False
Snoop Dogg,You (feat. Tye Tribbett),False
Snoop Dogg,One More Day (feat. Charlie Wilson),False
Snoop Dogg,Bible of Love (Interlude) [feat. Lonny Bereal],False
Snoop Dogg,Come as You Are (feat. Marvin Sapp & Mary Mary),False
Snoop Dogg,Talk to God (feat. Mali Music & Kim Burrell),False
Snoop Dogg,Changed (feat. Isaac Carree & Jazze Pha),False
Snoop Dogg,Praise Him (feat. Soopafly),False
Snoop Dogg,Blessing Me Again (feat. Rance Allen),False
Snoop Dogg,Blessed & Highly Favored (Remix) [feat. The Clark Sisters],False
Snoop Dogg,Unbelievable (feat. Ev3),False
Snoop Dogg,No One Else (feat. K-Ci),False
Snoop Dogg,Chizzle (feat. Sly Pyper & Daz Dillinger),False
Snoop Dogg,My God (feat. James Wright),False
Snoop Dogg,When It's All Over (feat. Patti LaBelle),False
Snoop Dogg,"Crown (feat. Tyrell Urquhart, Jazze Pha & Issac Carree)",False
Snoop Dogg,Call Him (feat. Fred Hammond),False
Snoop Dogg,Change the World (feat. John P. Kee),False
Snoop Dogg,Voices of Praise,False
Snoop Dogg,Words Are Few (feat. B Slade),False
Snoop Dogg,Intro,True
Snoop Dogg,Everything (feat. Jacquees & Dreezy),True
Snoop Dogg,220 (feat. Goldie Loc),True
Snoop Dogg,Waves (feat. October London),True
Snoop Dogg,I Don't Care (feat. LunchMoney Lewis),True
Snoop Dogg,Doggytails (feat. Kokane),True
Snoop Dogg,Motivation (feat. Hypnotic Brass Essemble),True
Snoop Dogg,On The Double,True
Snoop Dogg,M.A.C.A.,True
Snoop Dogg,3's Company (feat. Chris Brown & O.T. Genasis),True
Snoop Dogg,Good Foot,True
Snoop Dogg,Dis Finna Be a Breeze! (feat. Ha Ha Davis),True
Snoop Dogg,None of Mine,True
Snoop Dogg,My Last Name (feat. October London),True
Snoop Dogg,SportsCenter (Remix) (feat. DesignerFlow),True
Snoop Dogg,Fly Away (feat. Shon Lawon),True
Snoop Dogg,Neva Left,True
Snoop Dogg,Moment I Feared,True
Snoop Dogg,Bacc in da Dayz,True
Snoop Dogg,Promise You This,True
Snoop Dogg,Trash Bags,True
Snoop Dogg,Swivel,True
Snoop Dogg,Go On,True
Snoop Dogg,Big Mouth,True
Snoop Dogg,Toss It,True
Snoop Dogg,420 (Blaze Up),True
Snoop Dogg,Lavender (Nightfall Remix),True
Snoop Dogg,Let Us Begin,True
Snoop Dogg,Mount Kushmore,True
Snoop Dogg,Vapors (DJ Battlecat Remix),True
Snoop Dogg,I'm Still Here,True
Snoop Dogg,Love Around the World,True
Snoop Dogg,Legend,True
Snoop Dogg,Ten Toes Down,True
Snoop Dogg,Don't Stop (feat. Too Short),True
Snoop Dogg,Super Crip,True
Snoop Dogg,Coolaid Man,True
Snoop Dogg,Let Me See Em Up (feat. Swizz Beatz),True
Snoop Dogg,Point Seen Money Gone (feat. Jeremih),True
Snoop Dogg,Oh Na Na (feat. Wiz Khalifa),True
Snoop Dogg,My Carz,True
Snoop Dogg,Two Or More,True
Snoop Dogg,Affiliated (feat. Trick Trick),True
Snoop Dogg,Feel About Snoop,True
Snoop Dogg,Light It Up (feat. Swizz Beatz),True
Snoop Dogg,Side Piece,True
Snoop Dogg,Kush Ups (feat. Wiz Khalifa),True
Snoop Dogg,Double Tap (feat. E-40 & Jazze Pha),True
Snoop Dogg,Got Those,True
Snoop Dogg,Let The Beat Drop (Celebrate) (feat. Swizz Beatz),True
Snoop Dogg,What If (feat. Suga Free),True
Snoop Dogg,Revolution (feat. October London),False
Snoop Dogg,Legend,True
Snoop Dogg,Ten Toes Down,True
Snoop Dogg,Don't Stop,True
Snoop Dogg,Super Crip,True
Snoop Dogg,Coolaid Man,True
Snoop Dogg,Let Me See Em Up,True
Snoop Dogg,Point Seen Money Gone,True
Snoop Dogg,Oh Na Na,True
Snoop Dogg,My Carz,True
Snoop Dogg,Two or More,True
Snoop Dogg,Affiliated,True
Snoop Dogg,Feel About Snoop,True
Snoop Dogg,Light It Up,True
Snoop Dogg,Side Piece,True
Snoop Dogg,Kush Ups,True
Snoop Dogg,Double Tap,True
Snoop Dogg,Got Those,True
Snoop Dogg,Let the Beat Drop (Celebrate),True
Snoop Dogg,What If,True
Snoop Dogg,Revolution,False
Snoop Dogg,Legend,False
Snoop Dogg,Ten Toes Down,False
Snoop Dogg,Don't Stop (feat. Too Short),False
Snoop Dogg,Super Crip,False
Snoop Dogg,Coolaid Man,False
Snoop Dogg,Let Me See Em Up (feat. Swizz Beatz),False
Snoop Dogg,Point Seen Money Gone (feat. Jeremih),False
Snoop Dogg,Oh Na Na (feat. Wiz Khalifa),False
Snoop Dogg,My Carz,False
Snoop Dogg,Two Or More,False
Snoop Dogg,Affiliated (feat. Trick Trick),False
Snoop Dogg,Feel About Snoop,False
Snoop Dogg,Light It Up (feat. Swizz Beatz),False
Snoop Dogg,Side Piece,False
Snoop Dogg,Kush Ups (feat. Wiz Khalifa),False
Snoop Dogg,Double Tap (feat. E-40 & Jazze Pha),False
Snoop Dogg,Got Those,False
Snoop Dogg,Let The Beat Drop (Celebrate) [feat. Swizz Beatz],False
Snoop Dogg,What If (feat. Suga Free),False
Snoop Dogg,Revolution (feat. October London),False
Snoop Dogg,Have U Eva,True
Snoop Dogg,N My System,True
Snoop Dogg,Six n'da Morning,True
Snoop Dogg,Pop Pop Bang,True
Snoop Dogg,Phenomonon,True
Snoop Dogg,Happy Birthday,True
Snoop Dogg,Dic Walk,True
Snoop Dogg,N My Life Tyme,True
Snoop Dogg,Bestfriend,True
Snoop Dogg,Sho You Right,True
Snoop Dogg,What's Yo Pleasure,True
Snoop Dogg,It's Not a Secret,True
Snoop Dogg,Keep'a Nigga High,True
Snoop Dogg,We'll Miss U,True
Snoop Dogg,California Roll,False
Snoop Dogg,This City,False
Snoop Dogg,R U A Freak,False
Snoop Dogg,Awake,False
Snoop Dogg,So Many Pros,False
Snoop Dogg,Peaches N Cream,False
Snoop Dogg,Edibles,False
Snoop Dogg,I Knew That,False
Snoop Dogg,Run Away,False
Snoop Dogg,I'm Ya Dogg,False
Snoop Dogg,Hit Da Pavement (Instrumental),False
Snoop Dogg,Let It Go (Instrumental),False
Snoop Dogg,Faden Away (Instrumental),False
Snoop Dogg,1Question (Instrumental),False
Snoop Dogg,Ride (Instrumental),False
Snoop Dogg,Do My Thang (Instrumental),False
Snoop Dogg,I'll Be There 4U (Instrumental),False
Snoop Dogg,Systamatic (Instrumental - Bonus Track),False
Snoop Dogg,High Wit Me (Instrumental - Bonus Track),False
Snoop Dogg,Wingz (Instrumental - Bonus Track),False
Snoop Dogg,Hit Da Pavement,True
Snoop Dogg,Let It Go,True
Snoop Dogg,Faden Away,True
Snoop Dogg,1Question?,True
Snoop Dogg,Ride,True
Snoop Dogg,Do My Thang,True
Snoop Dogg,I’ll Be There 4U,True
Snoop Dogg,Systamatic (Bonus Track),True
Snoop Dogg,Smokin' On - feat. Juicy J,False
Snoop Dogg,I Get Lifted,False
Snoop Dogg,"You Can Put It In A Zag, I'mma Put It In A Blunt",False
Snoop Dogg,6:30,False
Snoop Dogg,Talent Show,False
Snoop Dogg,Let's Go Study,False
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",False
Snoop Dogg,OG (feat. Curren$y),False
Snoop Dogg,French Inhale - feat. Mike Posner,False
Snoop Dogg,It Could Be Easy,False
Snoop Dogg,World Class,False
Snoop Dogg,That Good,False
Snoop Dogg,Toyz N Da Hood,True
Snoop Dogg,The Way Life Used To Be,True
Snoop Dogg,My Own Way,True
Snoop Dogg,Wonder What It Do,True
Snoop Dogg,My Fucn House,True
Snoop Dogg,Peer Pressure,True
Snoop Dogg,I Don't Need No Bitch,True
Snoop Dogg,Platinum,True
Snoop Dogg,Boom,True
Snoop Dogg,We Rest N Cali,True
Snoop Dogg,El Lay,True
Snoop Dogg,Gang Bang Rookie,True
Snoop Dogg,This Weed Iz Mine,True
Snoop Dogg,Wet,True
Snoop Dogg,Take U Home,True
Snoop Dogg,Sumthin Like This Night,True
Snoop Dogg,Superman,True
Snoop Dogg,Eyez Closed,True
Snoop Dogg,Raised In Da Hood,True
Snoop Dogg,It's D Only Thang,True
Snoop Dogg,Cold Game,True
Snoop Dogg,Wet - Remix,True
Snoop Dogg,Sweat - Remix,False
Snoop Dogg,Toyz N Da Hood,True
Snoop Dogg,The Way Life Used To Be,True
Snoop Dogg,My Own Way,True
Snoop Dogg,Wonder What It Do,True
Snoop Dogg,My Fucn House,True
Snoop Dogg,Peer Pressure,True
Snoop Dogg,I Don't Need No Bitch,True
Snoop Dogg,Platinum,True
Snoop Dogg,Boom,True
Snoop Dogg,We Rest N Cali,True
Snoop Dogg,El Lay,True
Snoop Dogg,Gang Bang Rookie,True
Snoop Dogg,This Weed Iz Mine,True
Snoop Dogg,Wet - Remix,True
Snoop Dogg,Take U Home,True
Snoop Dogg,Sumthin Like This Night,True
Snoop Dogg,Superman,True
Snoop Dogg,Eyez Closed,True
Snoop Dogg,Raised In Da Hood,True
Snoop Dogg,It's D Only Thang,True
Snoop Dogg,Cold Game,True
Snoop Dogg,Sweat - Remix,False
Snoop Dogg,Toyz N Da Hood,True
Snoop Dogg,The Way Life Used To Be,True
Snoop Dogg,My Own Way,True
Snoop Dogg,Wonder What It Do,True
Snoop Dogg,My Fucn House,True
Snoop Dogg,Peer Pressure,True
Snoop Dogg,I Don't Need No Bitch,True
