ArtistName,SongName,SongExplicit
Taylor Swift,...Ready For It?,False
Taylor Swift,End Game,False
Taylor Swift,I Did Something Bad,False
Taylor Swift,Don’t Blame Me,False
Taylor Swift,Delicate,False
Taylor Swift,Look What You Made Me Do,False
Taylor Swift,So It Goes...,False
Taylor Swift,Gorgeous,False
Taylor Swift,Getaway Car,False
Taylor Swift,King Of My Heart,False
Taylor Swift,Dancing With Our Hands Tied,False
Taylor Swift,Dress,False
Taylor Swift,This Is Why We Can’t Have Nice Things,False
Taylor Swift,Call It What You Want,False
Taylor Swift,New Year’s Day,False
Taylor Swift,All Too Well,False
Taylor Swift,Wildest Dreams,False
Taylor Swift,The Best Day,False
Taylor Swift,Red,False
Taylor Swift,Holy Ground,False
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,False
Taylor Swift,Our Song,False
Taylor Swift,22,False
Taylor Swift,I Knew You Were Trouble.,False
Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),False
Taylor Swift,Mean,False
Taylor Swift,How You Get The Girl,False
Taylor Swift,So It Goes...,False
Taylor Swift,Fifteen,False
Taylor Swift,Mine,False
Taylor Swift,Sparks Fly,False
Taylor Swift,State Of Grace,False
Taylor Swift,Haunted,False
Taylor Swift,Never Grow Up,False
Taylor Swift,Treacherous,False
Taylor Swift,Babe,False
Taylor Swift,Welcome To New York,False
Taylor Swift,Fearless,False
Taylor Swift,Enchanted,False
Taylor Swift,Change,False
Taylor Swift,Ours,False
Taylor Swift,Out Of The Woods,False
Taylor Swift,Come Back...Be Here,False
Taylor Swift,A Place in this World,False
Taylor Swift,This Love,False
Taylor Swift,The Lucky One,False
Taylor Swift,Invisible,False
Taylor Swift,Breathe,False
Taylor Swift,Better Man,False
Taylor Swift,Jump Then Fall,False
Taylor Swift,Begin Again,False
Taylor Swift,Tied Together with a Smile,False
Taylor Swift,The Story Of Us,False
Taylor Swift,Forever & Always,False
Taylor Swift,Hey Stephen,False
Taylor Swift,Speak Now,False
Taylor Swift,Wonderland,False
Taylor Swift,White Horse,False
Taylor Swift,I'm Only Me When I'm With You,False
Taylor Swift,Starlight,False
Taylor Swift,I Know Places,False
Taylor Swift,…Ready For It? - Commentary,False
Taylor Swift,...Ready For It?,False
Taylor Swift,End Game - Commentary,False
Taylor Swift,End Game,False
Taylor Swift,I Did Something Bad - Commentary,False
Taylor Swift,I Did Something Bad,False
Taylor Swift,Don't Blame Me - Commentary,False
Taylor Swift,Don’t Blame Me,False
Taylor Swift,Delicate - Commentary,False
Taylor Swift,Delicate,False
Taylor Swift,Look What You Made Me Do - Commentary,False
Taylor Swift,Look What You Made Me Do,False
Taylor Swift,So It Goes… - Commentary,False
Taylor Swift,So It Goes...,False
Taylor Swift,Gorgeous - Commentary,False
Taylor Swift,Gorgeous,False
Taylor Swift,Getaway Car - Commentary,False
Taylor Swift,Getaway Car,False
Taylor Swift,King Of My Heart - Commentary,False
Taylor Swift,King Of My Heart,False
Taylor Swift,Dancing With Our Hands Tied - Commentary,False
Taylor Swift,Dancing With Our Hands Tied,False
Taylor Swift,Dress - Commentary,False
Taylor Swift,Dress,False
Taylor Swift,This Is Why We Can't Have Nice Things - Commentary,False
